DKS	16618.0	MMA	14177.0	SSF	17506.0	A	13489.0	MM	2015-04-06T18:29:21-04:00	4 - DICKS SPORTING GOODS INC (0001089063) (Issuer)	False	SVP, Chief Accounting Officer	Oliver Joseph	http://www.sec.gov/Archives/edgar/data/1089063/000108906315000038/xslF345X03/wf-form4_142835935163393.xml
GLYE	26667.0	A	0		0		0		2015-04-06T18:21:15-04:00	4 - GlyEco, Inc. (0000931799) (Issuer)	False	Chief Financial Officer	Williams Alicia	http://www.sec.gov/Archives/edgar/data/931799/000118518515000844/xslF345X03/form4williams040615.xml
MEET	0		30000.0	SS	0		0		2015-04-06T18:21:04-04:00	4 - MeetMe, Inc. (0001078099) (Issuer)	True	Chief Executive Officer	Cook Geoffrey	http://www.sec.gov/Archives/edgar/data/1078099/000143774915006941/xslF345X03/rdgdoc.xml
GLYE	11000.0	A	0		0		0		2015-04-06T18:19:26-04:00	4 - GlyEco, Inc. (0000931799) (Issuer)	True	No Title	Smith Keri Lynn	http://www.sec.gov/Archives/edgar/data/931799/000118518515000842/xslF345X03/form4smith040615.xml
GLYE	12000.0	A	0		0		0		2015-04-06T18:17:34-04:00	4 - GlyEco, Inc. (0000931799) (Issuer)	True	No Title	Opler Richard Q	http://www.sec.gov/Archives/edgar/data/931799/000118518515000840/xslF345X03/form4opler040615.xml
FLEX	803008.0	MM	803008.0	SS	0		803008.0	MM	2015-04-06T18:16:09-04:00	4 - FLEXTRONICS INTERNATIONAL LTD. (0000866374) (Issuer)	True	Chief Executive Officer	MCNAMARA MICHAEL M	http://www.sec.gov/Archives/edgar/data/866374/000118143115005613/xslF345X03/rrd424200.xml
GLYE	13000.0	A	0		0		0		2015-04-06T18:16:04-04:00	4 - GlyEco, Inc. (0000931799) (Issuer)	True	No Title	Mamanteo Dwight	http://www.sec.gov/Archives/edgar/data/931799/000118518515000838/xslF345X03/form4mamanteo046015.xml
DXR	300.0	P	0		0		0		2015-04-06T18:15:31-04:00	4 - DAXOR CORP (0000027367) (Issuer)	True	President & CEO	FELDSCHUH JOSEPH	http://www.sec.gov/Archives/edgar/data/27367/000101905615000365/xslF345X03/feldschuh_4.xml
GLYE	8000.0	A	0		0		0		2015-04-06T18:15:06-04:00	4 - GlyEco, Inc. (0000931799) (Issuer)	True	No Title	Lorenz John d'Arc II	http://www.sec.gov/Archives/edgar/data/931799/000118518515000836/xslF345X03/form4johnlorenz040615.xml
MRD	0		145045.0	SS	0		0		2015-04-06T18:14:05-04:00	4 - Memorial Resource Development Corp. (0001599222) (Issuer)	False	No Title	Eckerman Steven Wayne	http://www.sec.gov/Archives/edgar/data/1599222/000114036115014582/xslF345X03/doc1.xml
MRD	0		142133.0	SS	0		0		2015-04-06T18:13:09-04:00	4 - Memorial Resource Development Corp. (0001599222) (Issuer)	False	No Title	Eschete Paul Ray Jr.	http://www.sec.gov/Archives/edgar/data/1599222/000114036115014581/xslF345X03/doc1.xml
GLYE	11000.0	A	0		0		0		2015-04-06T18:13:03-04:00	4 - GlyEco, Inc. (0000931799) (Issuer)	True	No Title	Jaap Michael Charles	http://www.sec.gov/Archives/edgar/data/931799/000118518515000834/xslF345X03/form4-jaap040615.xml
PEP	3223.0	A	8583.0	F	0		0		2015-04-06T18:10:20-04:00	4 - PEPSICO INC (0000077476) (Issuer)	False	EVP, Global Categories & Ops.	Guimaraes Enderson	http://www.sec.gov/Archives/edgar/data/77476/000120919115032746/xslF345X03/doc4.xml
LEI	41459.0	AP	0		0		0		2015-04-06T18:09:43-04:00	4/A - LUCAS ENERGY, INC. (0001309082) (Issuer)	False	CEO & PRESIDENT	Schnur Anthony Charles	http://www.sec.gov/Archives/edgar/data/1309082/000158069515000104/xslF345X03/primary_doc.xml
PEP	3610.0	A	9157.0	F	0		0		2015-04-06T18:08:39-04:00	4 - PEPSICO INC (0000077476) (Issuer)	False	EVP & Chief HR Officer	TRUDELL CYNTHIA	http://www.sec.gov/Archives/edgar/data/77476/000120919115032744/xslF345X03/doc4.xml
GLYE	8000.0	A	0		0		0		2015-04-06T18:08:15-04:00	4 - GlyEco, Inc. (0000931799) (Issuer)	False	Chief Business Dev. Officer	Carnell Janet Lynn	http://www.sec.gov/Archives/edgar/data/931799/000118518515000832/xslF345X03/primary_doc.xml
PEP	938.0	A	4801.0	F	0		0		2015-04-06T18:06:48-04:00	4 - PEPSICO INC (0000077476) (Issuer)	False	CEO, PepsiCo Europe	Laguarta Ramon	http://www.sec.gov/Archives/edgar/data/77476/000120919115032742/xslF345X03/doc4.xml
PCMI	50000.0	M	34487.0	F	0		50000.0	M	2015-04-06T18:06:21-04:00	4 - PCM, INC. (0000937941) (Issuer)	False	EVP, General Counsel	Newton Robert I	http://www.sec.gov/Archives/edgar/data/937941/000122520815009685/xslF345X03/doc4.xml
PEP	1159.0	A	1857.0	F	0		0		2015-04-06T18:05:50-04:00	4 - PEPSICO INC (0000077476) (Issuer)	False	CEO, PepsiCo AMEA	Chadha Sanjeev	http://www.sec.gov/Archives/edgar/data/77476/000120919115032740/xslF345X03/doc4.xml
EXPO	0		0		12000.0	AA	0		2015-04-06T18:05:29-04:00	4/A - EXPONENT INC (0000851520) (Issuer)	True	President & CEO	JOHNSTON PAUL R	http://www.sec.gov/Archives/edgar/data/851520/000085152015000097/xslF345X03/edgardoc.xml
EXPO	0		0		8000.0	AA	0		2015-04-06T18:05:19-04:00	4/A - EXPONENT INC (0000851520) (Issuer)	False	EVP & Chief Financial Officer	SCHLENKER RICHARD L JR	http://www.sec.gov/Archives/edgar/data/851520/000085152015000096/xslF345X03/edgardoc.xml
PPO	30392.0	M	30392.0	S	0		30392.0	M	2015-04-06T18:05:13-04:00	4/A - Polypore International, Inc. (0001292556) (Issuer)	False	CFO, Treasurer and Secretary	Amos Lynn	http://www.sec.gov/Archives/edgar/data/1292556/000129255615000004/xslF345X03/wf-form4a_142835790321195.xml
PEP	3364.0	A	7286.0	F	0		0		2015-04-06T18:03:51-04:00	4 - PEPSICO INC (0000077476) (Issuer)	False	CEO, FLNA	Greco Thomas	http://www.sec.gov/Archives/edgar/data/77476/000120919115032738/xslF345X03/doc4.xml
PEP	4036.0	A	10426.0	F	0		0		2015-04-06T18:02:24-04:00	4 - PEPSICO INC (0000077476) (Issuer)	False	EVP & CSO, Global R&D	Khan Mehmood	http://www.sec.gov/Archives/edgar/data/77476/000120919115032736/xslF345X03/doc4.xml
ITUS	30000.0	PP	0		0		0		2015-04-06T18:02:22-04:00	4 - ITUS Corp (0000715446) (Issuer)	True	No Title	Titterton Lewis H jr	http://www.sec.gov/Archives/edgar/data/715446/000151316215000188/xslF345X03/primary_doc.xml
PFIN	2500.0	A	0		0		0		2015-04-06T18:00:15-04:00	4 - P&F INDUSTRIES INC (0000075340) (Issuer)	False	Vice President	MOLINO JOSEPH A JR	http://www.sec.gov/Archives/edgar/data/75340/000114420415021401/xslF345X03/v406509_4.xml
TC	523.0	A	0		0		0		2015-04-06T17:59:52-04:00	4 - Thompson Creek Metals Co Inc. (0001415020) (Issuer)	False	VP HR, HR Systems	Ramey Geoffrey	http://www.sec.gov/Archives/edgar/data/1415020/000141502015000061/xslF345X03/wf-form4_142835758235979.xml
TC	4525.0	A	0		0		0		2015-04-06T17:59:37-04:00	4 - Thompson Creek Metals Co Inc. (0001415020) (Issuer)	True	Chief Executive Officer	Perron Jacques	http://www.sec.gov/Archives/edgar/data/1415020/000141502015000060/xslF345X03/wf-form4_142835756814950.xml
TC	2966.0	A	0		0		0		2015-04-06T17:59:25-04:00	4 - Thompson Creek Metals Co Inc. (0001415020) (Issuer)	False	VP, GC and Secretary	Cassity Wendy	http://www.sec.gov/Archives/edgar/data/1415020/000141502015000059/xslF345X03/wf-form4_142835755557560.xml
ANFC	70000.0	PP	0		0		0		2015-04-06T17:58:21-04:00	4 - Black Ridge Oil & Gas, Inc. (0001490161) (Issuer)	False	Chief Executive Officer	DeCubellis Kenneth	http://www.sec.gov/Archives/edgar/data/1490161/000153414815000002/xslF345X03/primary_doc.xml
ATU	0		5117.0	SS	0		0		2015-04-06T17:57:42-04:00	4 - ACTUANT CORP (0000006955) (Issuer)	False	Corporate Controller	Pauli Matthew	http://www.sec.gov/Archives/edgar/data/6955/000117911015006051/xslF345X03/edgar.xml
KPTI	3000.0	P	0		0		0		2015-04-06T17:57:23-04:00	4 - Karyopharm Therapeutics Inc. (0001503802) (Issuer)	True	No Title	Greene Barry E	http://www.sec.gov/Archives/edgar/data/1291963/000120919115032734/xslF345X03/doc4.xml
ICUI	1875.0	X	1875.0	S	0		1875.0	X	2015-04-06T17:56:52-04:00	4 - ICU MEDICAL INC/DE (0000883984) (Issuer)	True	No Title	SAUCEDO JOSEPH R	http://www.sec.gov/Archives/edgar/data/883984/000119025115000002/xslF345X03/edgardoc.xml
PEP	28029.0	A	73225.0	F	0		0		2015-04-06T17:56:52-04:00	4 - PEPSICO INC (0000077476) (Issuer)	True	Chairman and CEO	NOOYI INDRA K	http://www.sec.gov/Archives/edgar/data/77476/000120919115032733/xslF345X03/doc4.xml
MCP	124.0	M	0		0		124.0	M	2015-04-06T17:56:37-04:00	4 - Molycorp, Inc. (0001489137) (Issuer)	True	No Title	KRISTOFF MARK	http://www.sec.gov/Archives/edgar/data/1260613/000148913715000019/xslF345X03/wf-form4_142835738760835.xml
MCP	68.0	M	0		0		68.0	M	2015-04-06T17:55:58-04:00	4 - Molycorp, Inc. (0001489137) (Issuer)	True	No Title	Ball Russell David	http://www.sec.gov/Archives/edgar/data/1299936/000148913715000018/xslF345X03/wf-form4_142835734785317.xml
PEP	5830.0	A	15180.0	F	0		0		2015-04-06T17:55:13-04:00	4 - PEPSICO INC (0000077476) (Issuer)	False	Chief Executive Officer, PAB	Carey Albert P	http://www.sec.gov/Archives/edgar/data/77476/000120919115032730/xslF345X03/doc4.xml
NRCIA/B	0		12065.0	S	0		0		2015-04-06T17:55:08-04:00	4 - NATIONAL RESEARCH CORP (0000070487) (Issuer)	True	CEO	Hays Michael D.	http://www.sec.gov/Archives/edgar/data/70487/000114036115014580/xslF345X03/doc1.xml
PIR	1350.75	A	0		0		0		2015-04-06T17:54:11-04:00	4 - PIER 1 IMPORTS INC/DE (0000278130) (Issuer)	True	No Title	BACHELDER CHERYL A	http://www.sec.gov/Archives/edgar/data/278130/000118388715000085/xslF345X03/edgar.xml
KPTI	5000.0	P	0		0		0		2015-04-06T17:53:40-04:00	4 - Karyopharm Therapeutics Inc. (0001503802) (Issuer)	False	EVP, CFO & Treasurer	Renz Justin A	http://www.sec.gov/Archives/edgar/data/1466562/000120919115032728/xslF345X03/doc4.xml
ITUS	10000.0	PP	0		0		0		2015-04-06T17:53:07-04:00	4 - ITUS Corp (0000715446) (Issuer)	True	No Title	JOHNSON BRUCE F	http://www.sec.gov/Archives/edgar/data/715446/000151316215000187/xslF345X03/primary_doc.xml
WDR	0		855.0	F	0		0		2015-04-06T17:52:53-04:00	4 - WADDELL & REED FINANCIAL INC (0001052100) (Issuer)	False	VP, Controller & PAO	CLOUSE MELISSA A	http://www.sec.gov/Archives/edgar/data/1052100/000111343515000006/xslF345X03/edgar.xml
PEP	1062.0	A	2041.0	F	0		0		2015-04-06T17:52:38-04:00	4 - PEPSICO INC (0000077476) (Issuer)	False	SVP and Controller	Gallagher Marie T.	http://www.sec.gov/Archives/edgar/data/77476/000120919115032726/xslF345X03/doc4.xml
EOG	6000.0	M	4453.0	D	0		6000.0	M	2015-04-06T17:51:07-04:00	4 - EOG RESOURCES INC (0000821189) (Issuer)	True	No Title	TEXTOR DONALD F	http://www.sec.gov/Archives/edgar/data/821189/000112760215014029/xslF345X03/form4.xml
EXLP	1507.0	M	860.0	FS	0		1507.0	M	2015-04-06T17:50:36-04:00	4 - EXTERRAN PARTNERS, L.P. (0001367064) (Issuer)	True	SVP & CFO	Miller David S	http://www.sec.gov/Archives/edgar/data/1367064/000114036115014578/xslF345X03/doc1.xml
PEP	6839.0	A	17798.0	F	0		0		2015-04-06T17:50:11-04:00	4 - PEPSICO INC (0000077476) (Issuer)	False	EVP PepsiCo & CFO	Johnston Hugh F	http://www.sec.gov/Archives/edgar/data/77476/000120919115032724/xslF345X03/doc4.xml
PIR	595.92	A	0		0		0		2015-04-06T17:48:49-04:00	4 - PIER 1 IMPORTS INC/DE (0000278130) (Issuer)	True	No Title	DODDS HAMISH	http://www.sec.gov/Archives/edgar/data/278130/000118388715000084/xslF345X03/edgar.xml
WDAY	80000.0	CJ	95000.0	JJJ	0		65000.0	C	2015-04-06T17:48:09-04:00	4 - Workday, Inc. (0001327811) (Issuer)	True	No Title	BATTLE A GEORGE	http://www.sec.gov/Archives/edgar/data/1203980/000120919115032722/xslF345X03/doc4.xml
PIR	595.92	A	0		0		0		2015-04-06T17:46:51-04:00	4 - PIER 1 IMPORTS INC/DE (0000278130) (Issuer)	True	No Title	HOFFMAN BRENDAN	http://www.sec.gov/Archives/edgar/data/278130/000118388715000083/xslF345X03/edgar.xml
IMPR	0		6299.0	SS	0		0		2015-04-06T17:45:24-04:00	4 - Imprivata Inc (0001328015) (Issuer)	False	Chief Financial Officer	Kalowski Jeffrey	http://www.sec.gov/Archives/edgar/data/1328015/000120919115032720/xslF345X03/doc4.xml
PIR	198.64	A	0		0		0		2015-04-06T17:45:18-04:00	4 - PIER 1 IMPORTS INC/DE (0000278130) (Issuer)	True	No Title	LONDON TERRY E	http://www.sec.gov/Archives/edgar/data/278130/000118388715000082/xslF345X03/edgar.xml
WDR	0		3169.0	F	0		0		2015-04-06T17:43:55-04:00	4 - WADDELL & REED FINANCIAL INC (0001052100) (Issuer)	False	SVP, General Counsel & Secy.	HILLS WENDY J	http://www.sec.gov/Archives/edgar/data/1052100/000111343515000004/xslF345X03/edgar.xml
PIR	595.92	A	0		0		0		2015-04-06T17:43:21-04:00	4 - PIER 1 IMPORTS INC/DE (0000278130) (Issuer)	True	No Title	McCague Cynthia	http://www.sec.gov/Archives/edgar/data/278130/000118388715000081/xslF345X03/edgar.xml
WDR	0		6959.0	F	0		0		2015-04-06T17:41:29-04:00	4 - WADDELL & REED FINANCIAL INC (0001052100) (Issuer)	False	SVP, CFO & Treasurer	BLOSS BRENT K	http://www.sec.gov/Archives/edgar/data/1052100/000119079515000004/xslF345X03/edgar.xml
PIR	1191.84	A	0		0		0		2015-04-06T17:41:25-04:00	4 - PIER 1 IMPORTS INC/DE (0000278130) (Issuer)	True	No Title	PEEL MICHAEL A	http://www.sec.gov/Archives/edgar/data/278130/000118388715000080/xslF345X03/edgar.xml
ICUI	1875.0	X	1151.0	F	0		1875.0	X	2015-04-06T17:37:39-04:00	4 - ICU MEDICAL INC/DE (0000883984) (Issuer)	True	No Title	BROWN JACK	http://www.sec.gov/Archives/edgar/data/883984/000107339315000003/xslF345X03/edgardoc.xml
PRSC	0		1180.0	F	0		0		2015-04-06T17:37:29-04:00	4/A - PROVIDENCE SERVICE CORP (0001220754) (Issuer)	True	Chief Executive Officer	RUSTAND WARREN	http://www.sec.gov/Archives/edgar/data/1220754/000118143115005609/xslF345X03/rrd424170.xml
IMI	0		0		275000.0	A	0		2015-04-06T17:36:35-04:00	4 - INTERMOLECULAR INC (0001311241) (Issuer)	False	SVP Business Operations	Griffin Scot	http://www.sec.gov/Archives/edgar/data/1311241/000117911015006050/xslF345X03/edgar.xml
KPTI	5000.0	A	0		0		0		2015-04-06T17:35:17-04:00	4 - Karyopharm Therapeutics Inc. (0001503802) (Issuer)	True	No Title	WEG KENNETH E	http://www.sec.gov/Archives/edgar/data/1192596/000120919115032717/xslF345X03/doc4.xml
NG	3767.0	A	0		0		0		2015-04-06T17:34:15-04:00	4 - NOVAGOLD RESOURCES INC (0001173420) (Issuer)	False	No Title	Lang Gregory A.	http://www.sec.gov/Archives/edgar/data/1173420/000121465915002903/xslF345X03/marketforms-30699.xml
NG	1864.0	A	0		0		0		2015-04-06T17:33:53-04:00	4 - NOVAGOLD RESOURCES INC (0001173420) (Issuer)	False	No Title	Ottewell David A.	http://www.sec.gov/Archives/edgar/data/1173420/000121465915002902/xslF345X03/marketforms-30701.xml
NG	2372.0	A	0		0		0		2015-04-06T17:33:31-04:00	4 - NOVAGOLD RESOURCES INC (0001173420) (Issuer)	False	No Title	Deisley David	http://www.sec.gov/Archives/edgar/data/1173420/000121465915002901/xslF345X03/marketforms-30700.xml
ORC	732.0	A	0		0		0		2015-04-06T17:32:13-04:00	4 - Orchid Island Capital, Inc. (0001518621) (Issuer)	True	No Title	Bitting W Coleman	http://www.sec.gov/Archives/edgar/data/1518621/000117911015006048/xslF345X03/edgar.xml
NWHM	0		9000.0	S	0		0		2015-04-06T17:31:51-04:00	4 - New Home Co Inc. (0001574596) (Issuer)	False	Chief Operating Officer	Redwitz Thomas	http://www.sec.gov/Archives/edgar/data/1574596/000157459615000047/xslF345X03/wf-form4_142835590160699.xml
ORC	661.0	P	0		0		0		2015-04-06T17:31:15-04:00	4 - Orchid Island Capital, Inc. (0001518621) (Issuer)	True	No Title	FILIPPS FRANK P	http://www.sec.gov/Archives/edgar/data/1188562/000117911015006047/xslF345X03/edgar.xml
ORC	779.0	A	0		0		0		2015-04-06T17:30:52-04:00	4 - Orchid Island Capital, Inc. (0001518621) (Issuer)	True	No Title	HEUVELEN JOHN VAN	http://www.sec.gov/Archives/edgar/data/1221440/000117911015006046/xslF345X03/edgar.xml
UIL	0		0		1783.93	A	0		2015-04-06T17:30:49-04:00	4 - UIL HOLDINGS CORP (0001082510) (Issuer)	False	President & CEO	Torgerson James P	http://www.sec.gov/Archives/edgar/data/1082510/000114036115014575/xslF345X03/doc1.xml
ORC	732.0	P	0		0		0		2015-04-06T17:30:35-04:00	4 - Orchid Island Capital, Inc. (0001518621) (Issuer)	True	No Title	Parker Ava L	http://www.sec.gov/Archives/edgar/data/1518621/000117911015006045/xslF345X03/edgar.xml
BMNM	9822.0	A	0		0		0		2015-04-06T17:30:09-04:00	4 - BIMINI CAPITAL MANAGEMENT, INC. (0001275477) (Issuer)	True	No Title	Dwyer Robert J	http://www.sec.gov/Archives/edgar/data/1275477/000117911015006044/xslF345X03/edgar.xml
AEO	3103.0	M	3103.0	S	0		3103.0	M	2015-04-06T17:30:01-04:00	4 - AMERICAN EAGLE OUTFITTERS INC (0000919012) (Issuer)	True	No Title	PAGE JANICE E	http://www.sec.gov/Archives/edgar/data/919012/000122520815009683/xslF345X03/doc4.xml
BMNM	4048.0	A	0		0		0		2015-04-06T17:29:21-04:00	4 - BIMINI CAPITAL MANAGEMENT, INC. (0001275477) (Issuer)	True	No Title	Jaumot Frank E	http://www.sec.gov/Archives/edgar/data/1275477/000117911015006043/xslF345X03/edgar.xml
DSW	0		25000.0	S	0		0		2015-04-06T17:28:59-04:00	4 - DSW Inc. (0001319947) (Issuer)	False	President and CEO	MacDonald Michael R	http://www.sec.gov/Archives/edgar/data/1319947/000122520815009682/xslF345X03/doc4.xml
CMP	228.0	A	0		0		0		2015-04-06T17:28:18-04:00	4/A - COMPASS MINERALS INTERNATIONAL INC (0001227654) (Issuer)	True	No Title	GRANT RICHARD S	http://www.sec.gov/Archives/edgar/data/1227654/000114036115014573/xslF345X03/doc1.xml
AXS	0		5244.0	F	0		0		2015-04-06T17:26:01-04:00	4 - AXIS CAPITAL HOLDINGS LTD (0001214816) (Issuer)	False	CEO, AXIS Re	NICHOLS JOHN DRAKE	http://www.sec.gov/Archives/edgar/data/1214816/000120919115032715/xslF345X03/doc4.xml
FCEL	0		0		30287.0	A	0		2015-04-06T17:25:55-04:00	4 - FUELCELL ENERGY INC (0000886128) (Issuer)	True	No Title	WEST TOGO D JR	http://www.sec.gov/Archives/edgar/data/886128/000122520815009681/xslF345X03/doc4.xml
FCEL	0		0		30287.0	A	0		2015-04-06T17:25:53-04:00	4 - FUELCELL ENERGY INC (0000886128) (Issuer)	True	No Title	England James Herbert	http://www.sec.gov/Archives/edgar/data/886128/000122520815009680/xslF345X03/doc4.xml
FCEL	0		0		30287.0	A	0		2015-04-06T17:25:52-04:00	4 - FUELCELL ENERGY INC (0000886128) (Issuer)	True	No Title	Bromley Richard A	http://www.sec.gov/Archives/edgar/data/886128/000122520815009679/xslF345X03/doc4.xml
FCEL	196850.0	A	0		0		0		2015-04-06T17:25:50-04:00	4 - FUELCELL ENERGY INC (0000886128) (Issuer)	False	Chief Operating Officer	Rauseo Anthony	http://www.sec.gov/Archives/edgar/data/886128/000122520815009678/xslF345X03/doc4.xml
AVEO	0		0		25155.0	A	0		2015-04-06T17:25:49-04:00	4 - AVEO PHARMACEUTICALS INC (0001325879) (Issuer)	True	No Title	YOUNG ROBERT C	http://www.sec.gov/Archives/edgar/data/1205317/000120919115032714/xslF345X03/doc4.xml
FCEL	196850.0	A	0		0		0		2015-04-06T17:25:48-04:00	4 - FUELCELL ENERGY INC (0000886128) (Issuer)	False	Sr VP, CFO, Secy & Treasurer	Bishop Michael S.	http://www.sec.gov/Archives/edgar/data/886128/000122520815009677/xslF345X03/doc4.xml
FCEL	520472.0	A	0		0		0		2015-04-06T17:25:46-04:00	4 - FUELCELL ENERGY INC (0000886128) (Issuer)	True	President and CEO	Bottone Arthur A. Jr.	http://www.sec.gov/Archives/edgar/data/886128/000122520815009676/xslF345X03/doc4.xml
FCEL	0		0		92483.0	A	0		2015-04-06T17:25:45-04:00	4 - FUELCELL ENERGY INC (0000886128) (Issuer)	True	No Title	ROLLS JOHN A	http://www.sec.gov/Archives/edgar/data/886128/000122520815009675/xslF345X03/doc4.xml
FCEL	0		0		30287.0	A	0		2015-04-06T17:25:43-04:00	4 - FUELCELL ENERGY INC (0000886128) (Issuer)	True	No Title	LAWSON WILLIAM A	http://www.sec.gov/Archives/edgar/data/886128/000122520815009674/xslF345X03/doc4.xml
IMAX	50000.0	CC	50000.0	SS	0		50000.0	CC	2015-04-06T17:25:09-04:00	4 - IMAX CORP (0000921582) (Issuer)	False	No Title	FOSTER GREG	http://www.sec.gov/Archives/edgar/data/921582/000121465915002898/xslF345X03/marketforms-30691.xml
AVEO	0		0		25155.0	A	0		2015-04-06T17:24:44-04:00	4 - AVEO PHARMACEUTICALS INC (0001325879) (Issuer)	True	No Title	TERMEER HENRI A	http://www.sec.gov/Archives/edgar/data/1021038/000120919115032713/xslF345X03/doc4.xml
UIL	92.187	A	0		37.25	A	0		2015-04-06T17:24:18-04:00	4 - UIL HOLDINGS CORP (0001082510) (Issuer)	False	VP & Controller	Favuzza Steven P	http://www.sec.gov/Archives/edgar/data/1082510/000114036115014571/xslF345X03/doc1.xml
AVEO	0		0		25155.0	A	0		2015-04-06T17:23:55-04:00	4 - AVEO PHARMACEUTICALS INC (0001325879) (Issuer)	True	No Title	KUCHERLAPATI RAJU S	http://www.sec.gov/Archives/edgar/data/1079537/000120919115032712/xslF345X03/doc4.xml
TKAI	0		2258.0	S	0		0		2015-04-06T17:23:13-04:00	4 - Tokai Pharmaceuticals Inc (0001404281) (Issuer)	False	Chief Financial Officer	Kalowski Lee	http://www.sec.gov/Archives/edgar/data/1404281/000120919115032711/xslF345X03/doc4.xml
AVEO	0		0		25155.0	A	0		2015-04-06T17:22:59-04:00	4 - AVEO PHARMACEUTICALS INC (0001325879) (Issuer)	True	No Title	BATE KENNETH	http://www.sec.gov/Archives/edgar/data/1210238/000120919115032710/xslF345X03/doc4.xml
ASPX	0		300000.0	XX	0		4.0	XJXJ	2015-04-06T17:22:56-04:00	4 - Auspex Pharmaceuticals, Inc. (0001454189) (Issuer)	False	No Title	CMEA Ventures VII LP	http://www.sec.gov/Archives/edgar/data/1405712/000120919115032709/xslF345X03/doc4.xml
BDR	0		0		10000.0	A	0		2015-04-06T17:22:11-04:00	4 - BLONDER TONGUE LABORATORIES INC (0001000683) (Issuer)	True	No Title	Bruno Anthony J	http://www.sec.gov/Archives/edgar/data/1000683/000114036115014569/xslF345X03/doc1.xml
AVEO	0		0		25155.0	A	0		2015-04-06T17:21:42-04:00	4 - AVEO PHARMACEUTICALS INC (0001325879) (Issuer)	True	No Title	EVNIN ANTHONY B	http://www.sec.gov/Archives/edgar/data/1239241/000120919115032707/xslF345X03/doc4.xml
